Security,005930 KS Equity,,,Security,NVDA US Equity,,,Security,XBTUSD BGN Curncy,,Security,STRL US Equity,,,Security,SKY US Equity,,,Security,XAU BGN Curncy,,Security,USGG10YR Index,,,Security,XAG BGN Curncy,,Security,BRK/B US Equity,,,Security,VOO US Equity,,,Security,AZN LN Equity,,,Security,JNJ US Equity,,,Security,PKN PW Equity,,,Security,ASML NA Equity,,,Security,IVV US Equity,,,Security,SAP GY Equity,,,Security,MA US Equity,,,Security,ELCID IB Equity,,,Security,TMO US Equity,,,Security,UNOMINDA IN Equity,,,Security,AAPL UW Equity,,,,,,Security,AVGO US Equity,,,,,,Security,ANET US Equity,,,,,,Security,9992 HK Equity,,,,,,Security,WMT US Equity,,,,,,Security,NFLX US Equity,,,,,,Security,TTAN IN Equity,,,,,,Security,RELIANCE IN Equity,,,
Start Date,10/31/2015 0:00,,,Start Date,10/30/2015 0:00,,,Start Date,10/31/2015 0:00,,Start Date,11/30/2015 0:00,,,Start Date,10/31/2015 0:00,,,Start Date,11/30/2015 0:00,,Start Date,11/30/2015 0:00,,,Start Date,11/30/2015 0:00,,Start Date,11/30/2015 0:00,,,Start Date,10/30/2015 0:00,,,Start Date,11/30/2015 0:00,,,Start Date,11/30/2015 0:00,,,Start Date,10/31/2005 0:00,,,Start Date,11/30/2015 0:00,,,Start Date,10/31/2005 0:00,,,Start Date,11/30/2015 0:00,,,Start Date,11/30/2015 0:00,,,Start Date,10/31/2015 0:00,,,Start Date,11/30/2015 0:00,,,Start Date,10/31/2015 0:00,,,Start Date,10/30/2015 0:00,,,,,,Start Date,11/30/2015 0:00,,,,,,Start Date,10/30/2015 0:00,,,,,,Start Date,12/31/2020 0:00,,,,,,Start Date,10/30/2015 0:00,,,,,,Start Date,11/30/2015 0:00,,,,,,Start Date,10/31/2015 0:00,,,,,,Start Date,10/31/2015 0:00,,,
End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,9/30/2025 0:00,,,End Date,10/31/2025 0:00,,,,,,End Date,10/31/2025 0:00,,,,,,End Date,10/31/2025 0:00,,,,,,End Date,10/31/2025 0:00,,,,,,End Date,10/31/2025 0:00,,,,,,End Date,10/31/2025 0:00,,,,,,End Date,10/31/2025 0:00,,,,,,End Date,10/31/2025 0:00,,,
Period,M,,,Period,M,,,Period,M,,Period,M,,,Period,M,,,Period,M,,Period,M,,,Period,M,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,Period,M,,,,,,Period,M,,,,,,Period,M,,,,,,Period,M,,,,,,Period,M,,,,,,Period,M,,,,,,Period,M,,,,,,Period,M,,,
Currency,KRW,,,Currency,USD,,,Pricing Source,BGN,,Currency,USD,,,Currency,USD,,,Pricing Source,BGN,,,,,,Pricing Source,BGN,,Currency,USD,,,Currency,USD,,,Currency,GBp,,,Currency,USD,,,Currency,PLN,,,Currency,EUR,,,Currency,USD,,,Currency,EUR,,,Currency,USD,,,Currency,INR,,,Currency,USD,,,Currency,INR,,,Currency,USD,,,,,,Currency,USD,,,,,,Currency,USD,,,,,,Currency,HKD,,,,,,Currency,USD,,,,,,Currency,USD,,,,,,Currency,INR,,,,,,Currency,INR,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,,Date,PX_LAST,CHG_PCT_1D,,Date,PX_LAST,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,Date,PX_LAST,PX_BID,,returns,,,Date,PX_LAST,PX_BID,,returns,,,Date,PX_LAST,PX_BID,,returns,,,Date,PX_LAST,PX_BID,,returns,,,Date,PX_LAST,PX_BID,,returns,,,Date,PX_LAST,PX_BID,,returns,,,Date,PX_LAST,PX_BID,,returns,,,Date,PX_LAST,PX_BID,,returns
2025-09-30,83900,83800,,2025-09-30,186.58,186.57,,2025-09-30,114640.81,,2025-09-30,339.68,339.45,,2025-09-30,76.37,76.36,,2025-09-30,3858.96,,2025-09-30,4.1503,-1.8479,,2025-09-30,46.6459,,2025-09-30,502.74,502.61,,2025-09-30,612.38,612.33,,2025-09-30,11182,11180,,2025-09-30,185.42,185.39,,2025-09-30,86.52,86.51,,2025-09-30,828.1,827.8,,2025-09-30,669.3,669.29,,2025-09-30,227.9,227.8,,2025-09-30,568.81,568.55,,2025-09-30,128747.3,132300,,2025-09-30,485.02,484.56,,2025-09-30,1298.8,1298.8,,2025-09-30,254.63,254.53,,10%,,,2025-09-30,329.91,329.68,,10.9%,,,2025-09-30,145.71,145.71,,6.7%,,,2025-09-30,266.8,266.6,,-17.2%,,,2025-09-30,103.06,103.04,,6.3%,,,2025-09-30,1198.92,1198.14,,-0.8%,,,,,,,,,,,,,,
2025-08-29,69700,69700,,2025-08-29,174.18,174.16,,2025-08-31,109127.01,,2025-08-29,278.53,278.07,,2025-08-29,75.46,75.46,,2025-08-29,3447.95,,2025-08-29,4.2284,-3.3283,,2025-08-29,39.7189,,2025-08-29,502.98,503.08,,2025-08-29,593.08,593,,2025-08-29,11790,11790,,2025-08-29,177.17,177.2,,2025-08-29,77.78,77.78,,2025-08-29,636.6,636.6,,2025-08-29,648.32,648.23,,2025-08-29,231.7,231.65,,2025-08-29,595.29,595.78,,2025-08-29,131800.5,#N/A N/A,,2025-08-29,492.72,492.95,,2025-08-29,1279,1277.75,,2025-08-29,232.14,232.21,,12%,,,2025-08-29,297.39,297.37,,1.3%,,,2025-08-29,136.55,136.57,,10.8%,,,2025-08-29,322.4,322.4,,31.1%,,,2025-08-29,96.98,97.01,,-1.0%,,,2025-08-29,1208.25,1207.33,,4.2%,,,2025-09-30,3367,3370,,-7.2%,,,2025-09-30,1364,1363.8,,0.5%
2025-07-31,71400,71400,,2025-07-31,177.87,177.87,,2025-07-31,116491.12,,2025-07-31,267.59,267.32,,2025-07-31,60.9,60.87,,2025-07-31,3289.93,,2025-07-31,4.374,3.4532,,2025-07-31,36.7134,,2025-07-31,471.88,472.62,,2025-07-31,581.02,580.92,,2025-07-31,11324,11324,,2025-07-31,164.74,164.77,,2025-07-31,83.66,83.63,,2025-07-31,613.1,613.1,,2025-07-31,634.9,634.98,,2025-07-31,250.8,251.15,,2025-07-31,566.47,566.3,,2025-07-31,134147.4,#N/A N/A,,2025-07-31,467.68,467.76,,2025-07-31,1041.4,1038.9,,2025-07-31,207.57,207.58,,1%,,,2025-07-31,293.7,293.61,,6.5%,,,2025-07-31,123.22,123.27,,20.4%,,,2025-07-31,246,245.8,,-7.7%,,,2025-07-31,97.98,97.98,,0.2%,,,2025-07-31,1159.4,1158.38,,-13.4%,,,2025-08-29,3628.8,3617.15,,8.4%,,,2025-08-29,1357.2,1357.05,,-2.4%
2025-06-30,59800,59800,,2025-06-30,157.99,157.86,,2025-06-30,107606.61,,2025-06-30,230.73,230.56,,2025-06-30,62.61,62.6,,2025-06-30,3303.14,,2025-06-30,4.228,-3.9168,,2025-06-30,36.1094,,2025-06-30,485.77,485.16,,2025-06-30,568.03,567.95,,2025-06-30,10120,10120,,2025-06-30,152.75,152.65,,2025-06-30,82.1,82.1,,2025-06-30,677.6,677.6,,2025-06-30,620.9,620.81,,2025-06-30,258.15,257.3,,2025-06-30,561.94,561.65,,2025-06-30,129499.3,#N/A N/A,,2025-06-30,405.46,405.3,,2025-06-30,1104.3,1104.3,,2025-06-30,205.17,205.05,,2%,,,2025-06-30,275.65,275.67,,13.9%,,,2025-06-30,102.31,102.33,,18.1%,,,2025-06-30,266.6,266.2,,21.0%,,,2025-06-30,97.78,97.75,,-1.0%,,,2025-06-30,1339.13,1338.31,,10.9%,,,2025-07-31,3347.3,3346.25,,-9.3%,,,2025-07-31,1390.2,1390.3,,-7.4%
